COLLECTION_DATE,REVENUE_HEAD_ID,REVENUE_DESC,COLLECTION_AMOUNT
2018-07-17,11111,एकलौटीफर्म तथा व्यक्तिगत आयमा लाग्ने कर,10804222
2018-07-17,11112,पारिश्रमिककर,6132635
2018-07-17,11113,पूँजीगतलाभ कर,1929301
2018-07-17,11121,निकायको मुनाफामा लाग्ने कर-सरकारी संस्थान,2138
2018-07-17,11122,निकायको मुनाफामा लाग्ने कर - पब्लिक लिमिटेड कम्पनी,3790925
2018-07-17,11123,निकायको मुनाफामा लाग्ने कर – प्राइभेट लिमिटेड कम्पनी,9016960
2018-07-17,11124,निकायको मुनाफामा लाग्ने कर – अन्य संस्था,559374
2018-07-17,11131,"सम्पत्ती, बहाल तथा पट्टा वापतको आयमा लाग्ने कर",684654
2018-07-17,11132,व्याजमालाग्ने कर,2681179
2018-07-17,11135,आकस्मिकलाभ कर,35647
2018-07-17,11139,अन्यआयमा लाग्ने कर,235
2018-07-17,11211,पारिश्रमिकमाआधारित सामाजिक सुरक्षा कर,918033
2018-07-17,11321,घरवहालकर,74688
2018-07-17,11412,विलासिता शुल्क,7634834
2018-07-17,11421,बाँडफाँडभर्इ प्राप्त हुने अन्त शुल्क,194400
2018-07-17,11422,अन्त:शुल्क आयात,433653
2018-07-17,11442,स्वास्थ्यसेवा कर,50730
2018-07-17,11443,शिक्षा सेवा कर- शैक्षिक संस्था,141823
2018-07-17,11511,भंसार महसुल - आयात,7650537
2018-07-17,11561,कृषिसुधार शुल्क,1411995
2018-07-17,11611,व्यवसायले भुक्तानी गर्ने,1461855
2018-07-17,11613,"व्यावसाय,रजिष्ट्रेशन दस्तुर तथा व्यवसाय कर",148400
2018-07-17,11621,व्यवसाय वाहेक अन्यले भुक्तानी गर्ने,788645
2018-07-17,11622,हातहतियारकोइजाजतपत्र दस्तूर,8000
2018-07-17,14151,सरकारीसम्पत्तीको वहालबाट प्राप्त आय,58408
2018-07-17,14175,पदयात्रारोयल्टी,736397
2018-07-17,14213,अन्यविक्रीबाट प्राप्त रकम,7980
2018-07-17,14221,न्यायिकदस्तूर,56674
2018-07-17,14222,हुलाकसेवा शुल्क,4500
2018-07-17,14224,परीक्षाशुल्क,37300
2018-07-17,14225,यातायातक्षेत्रको आम्दानी,652560
2018-07-17,14226,आयातनिर्यात इजाजत पत्र दस्तूर,280100
2018-07-17,14227,राहदानीशुल्क,5427500
2018-07-17,14228,भिसाशुल्क,807520
2018-07-17,14229,अन्यप्रशासनिक सेवा शुल्क,374800
2018-07-17,14311,"न्यायिकदण्ड,जरिवाना र जफत",11920
2018-07-17,14312,"प्रशासनिकदण्ड,जरिवाना र जफत",48400
2018-07-17,14529,अन्यराजस्व,378000
